cpmetro_d,College Park - UMD Metro Station,38.97554,-76.928
acphys,River Road and Rivertech Court,38.96996,-76.92711
acphys_elli,American Center for Physics,38.97182,-76.93014
rayt,Raytheon,38.96836,-76.92833
collpark,College Park Academy,38.96829,-76.92792
diviofit,Division of IT,38.96917,-76.92325
msqua,M-Square,38.97076,-76.92299
usda,USDA,38.96989,-76.92614
rrmshel,River Road at American Center for Physics,38.9722,-76.92834
cpmetro_a,College Park - UMD Metro Station (Hidden Arrival),38.97607,-76.9278
