stamsuhh_d,Stamp Student Union - Slip,38.98745,-76.94404
hoff,Hoff Theater,38.98807,-76.94539
uniofiel,Union Ln and Fieldhouse Dr,38.98869,-76.94531
biofield,BioSciences Research Building,38.98926,-76.94211
mitc_out,Mitchell Building (Outbound),38.98665,-76.9402
memo_out,Memorial Chapel (Outbound),38.98482,-76.94015
mont_out,Montgomery Hall (Outbound),38.98243,-76.93915
baltritc,Ritchie Coliseum,38.98528,-76.9371
univclub,University Club Apartments,38.99065,-76.92981
univview,University View,38.99234,-76.9339
varsity,Baltimore Ave at The Varsity,38.99083,-76.93401
mcirc,Campus Dr at M Circle,38.9877,-76.9395
stamsuhh_a,Stamp Student Union - Slip (Arrival),38.98756,-76.94321
