regegara_d,Regents Drive Garage,38.98952,-76.94075
stamsu_d,Stamp Student Union - Slip,38.98761,-76.94394
artsoci,Art/Sociology Building,38.98529,-76.94677
camplt1d,Campus Dr at Lot 3,38.98474,-76.95154
gradhill,Adelphi Rd at Graduate Hills Apts,38.98466,-76.95554
adelwell_out,Adelphi Rd and Wells Blvd,38.97954,-76.95459
adel_nwhs,Adelphi Rd at Northwestern HS,38.9755,-76.9521
toleadel,Toledo Rd and Adelphi Rd,38.97007,-76.9498
tolebelc,Toledo and Belcrest Rd (Outbound),38.96991,-76.95328
targ,The Mall at Prince George's,38.96821,-76.95417
pgmetro_out,Prince George's Plaza Metro Station (Outbound),38.96588,-76.95413
39thquee,Queensbury Rd and 39th Pl,38.96391,-76.95037
42ndquee,42nd Ave and Queensbury Rd,38.96356,-76.94626
42ndogle,42nd Ave and Oglethorpe St,38.95967,-76.94654
42ndmadi,42nd Ave and Madison St,38.95801,-76.94676
42ndjeff,42nd Ave and Jefferson St,38.95539,-76.94578
42ndfarr,Farragut St and 42nd Pl,38.95175,-76.94436
farrrhod,Farragut St and Rhode Island Ave,38.95166,-76.94123
baltgall,Baltimore Ave and Gallatin St,38.95307,-76.94046
balthami,Baltimore Ave and Hamilton St,38.95428,-76.94032
baltlong,Baltimore Ave and Longfellow St,38.95672,-76.94004
baltogle,Baltimore Ave and Oglethorpe St,38.95939,-76.93976
44thquee,Queensbury Rd and 44th Pl,38.96326,-76.94045
quee42nd,Queensbury Rd and 42nd Pl,38.96377,-76.94506
belcquch,Belcrest Rd and Queens Chapel Rd,38.96437,-76.9527
pgmetro_in,Prince George's Plaza Metro Station (Inbound),38.96544,-76.95378
pgcc,Prince George's Community College,38.96815,-76.95394
belctole,Toledo Rd and Belcrest Rd (Inbound),38.96984,-76.9532
adeltole,Adelphi Rd and Toledo Rd,38.97063,-76.94903
adelvbur,Adelphi Rd and Van Buren St,38.97528,-76.95176
adelwell_in,Adelphi Rd and Wells Pkwy (Inbound),38.97923,-76.95431
adeltula,Adelphi Rd and Campus Dr,38.98463,-76.95534
cspa_main,Stadium Drive and University Boulevard,38.99179,-76.95022
stadgara,Stadium Drive Garage,38.99183,-76.94767
stadvtho,Varsity Team House,38.9906,-76.94542
stadatl,Stadium Drive at Atlantic Building,38.99056,-76.94212
regegara_a,Regents Drive Garage (Arrival),38.98979,-76.94075
