regegara_d,Regents Drive Garage,38.98952,-76.94075
campmath_m,Campus Dr at Math Slip,38.98786,-76.93861
baltmacd,Baltimore Avenue and Berwyn House Road,38.99239,-76.93319
baltqueb_out,Baltimore Ave and Quebec St(Outbound),38.99461,-76.93222
balttecu,Baltimore Avenue and Tecumseh Street,38.99743,-76.93157
rhoduniv,Rhode Island Avenue and University Boulevard (Outbound),39.00098,-76.92481
rhodcher,Rhode Island Avenue and Cherokee Street (Outbound),39.00239,-76.92444
rhodfox,Rhode Island Avenue and Fox Street (Outbound),39.00597,-76.9235
rhodholl,Rhode Island Avenue and Hollywood Road (Outbound),39.0109,-76.92217
rhodshop,Rhode Island Avenue at Hollywood Shopping Center,39.01384,-76.92138
edgerhod,Edgewood Road and Rhode Island Avenue (Outbound),39.0161,-76.92142
edge49th,Edgewood Road and 49th Avenue (Outbound),39.01606,-76.92436
mazz,Mazza GrandMarc,39.01112,-76.93004
baltberw_s,Baltimore Ave and Berwyn Rd (Inbound),38.99641,-76.93183
baltqueb_in,Baltimore Ave and Quebec St (Inbound),38.99462,-76.93236
varsfron,Baltimore Ave at The Varsity,38.99083,-76.93401
painstad_r,Glenn L. Martin Wind Tunnel,38.98995,-76.93725
regegara_a,Regents Drive Garage (Arrival),38.98979,-76.94075
