stamsu_m,Stamp Student Union - Slip,38.98761,-76.94394
artsoci,Art/Sociology Building,38.98529,-76.94677
wico,Wicomico Hall,38.98375,-76.94516
lotu4,Preinkert Drive at Lot MV,38.98219,-76.94488
collpksh,College Park Shopping Ctr (Outbound),38.98096,-76.93903
knoxyale,Knox Road and Yale Avenue,38.98061,-76.93686
prinknox,Knox Rd and Princeton Ave,38.98026,-76.93533
hopkknox,Knox Rd and Hopkins Ave,38.97992,-76.93384
knoxrhod,Knox Rd and Rhode Island Ave,38.97962,-76.93242
rhodcoll,Rhode Island Ave & College Ave,38.98072,-76.93187
rhodnorw_s,Rhode Island Ave and Norwich Rd,38.9819,-76.9314
rossrhod,Rossborough Ln and Rhode Island Ave,38.9834,-76.93131
5frat,Fraternity Row #5,38.9848,-76.93427
leoncomm_out,Leonardtown Community Center,38.98371,-76.9338
11frat,Fraternity Row #11,38.98302,-76.93549
yalecoll,Yale Ave and Lehigh Rd,38.98151,-76.93641
collpksh_ib,College Park Shopping Center (Inbound),38.98101,-76.93895
scam34,South Campus Commons 3 and 4,38.98114,-76.94082
sccomm5_6,South Campus Commons 5 and 6,38.98232,-76.94484
lota,Preinkert Drive at Lot A,38.98425,-76.94519
somehall,Somerset Hall,38.98475,-76.94582
annearun,Anne Arundel Hall,38.98594,-76.94695
dorchall,Dorchester Hall,38.98697,-76.94654
lot1,Union Dr at Lot 1b,38.98721,-76.94816
cspac,Valley Drive at Stadium Drive Garage,38.99024,-76.9494
elk,Elkton Hall,38.99248,-76.94858
hage,Hagerstown Hall,38.99297,-76.94756
laplat,La Plata Hall,38.99219,-76.94563
varhous,Varsity Team House,38.9906,-76.94544
stadatl,Stadium Drive at Atlantic Building,38.99056,-76.94212
regegara_d,Regents Drive Garage,38.98952,-76.94075
stamsu_a,Stamp Student Union - Slip (Arrival),38.98756,-76.94321
