11738,CityLink LIME,NW HOSPITAL - HARBOR EAST,localbus
11739,CityLink NAVY,MONDAWMIN - DUNDALK,localbus
11740,CityLink ORANGE,ESSEX - WEST BALTIMORE MARC,localbus
11741,CityLink PINK,CEDONIA - WEST BALTIMORE MARC,localbus
11742,CityLink PURPLE,HOPKINS HOSPITAL - CATONSVILLE,localbus
11743,CityLink RED,DOWNTOWN - TOWSON/LUTHERVILLE,localbus
11744,CityLink SILVER,CURTIS BAY - HOPKINS/MORGAN,localbus
11745,CityLink YELLOW,MONDAWMIN - UMBC/PATAPSCO,localbus
11704,MARC,BRUNSWICK - WASHINGTON,marc
11705,MARC,PENN - WASHINGTON,marc
11706,MARC,CAMDEN - WASHINGTON,marc
11682,METRO SUBWAYLINK,METRO SUBWAYLINK,metro
4962CCC,Charm Circulator - Banner Route,Banner Route,localbus
6139CCC,Charm Circulator - Cherry Route,Cherry Route,localbus
4963CCC,Charm Circulator - Green Route,Green Route,localbus
4964CCC,Charm Circulator - Orange Route,Orange Route,localbus
4965CCC,Charm Circulator - Purple Route,Purple Route,localbus
19563HC,Harbor Connector - Maritime Park – Locust Point,Maritime Park – Locust Point,localbus
19564HC,Harbor Connector - Canton Park – Locust Point,Canton Park – Locust Point,localbus
19565HC,Harbor Connector - Federal Hill – Pier 5,Federal Hill – Pier 5,localbus
