M4,WMATA - M4,NEBRASKA AVE,localbus
M6,WMATA - M6,FAIRFAX VILLAGE,localbus
MW1,WMATA - MW1,METROWAY-POTOMAC YARD,localbus
N2,WMATA - N2,MASSACHUSETTS AVE,localbus
N4,WMATA - N4,MASSACHUSETTS AVE,localbus
N6,WMATA - N6,MASSACHUSETTS AVE,localbus
NH1,WMATA - NH1,NATIONAL HARBOR - SOUTHERN AVE,localbus
NH2,WMATA - NH2,NATIONAL HARBOR  - KING STREET,localbus
P12,WMATA - P12,EASTOVER-ADDISON ROAD,localbus
P18,WMATA - P18,OXON HILL-FORT WASHINGTON,localbus
P6,WMATA - P6,ANACOSTIA-ECKINGTON,localbus
Q1,WMATA - Q1,VEIRS MILL ROAD,localbus
Q2,WMATA - Q2,VEIRS MILL ROAD,localbus
Q4,WMATA - Q4,VEIRS MILL ROAD,localbus
Q5,WMATA - Q5,VEIRS MILL ROAD,localbus
Q6,WMATA - Q6,VEIRS MILL ROAD,localbus
R1,WMATA - R1,RIGGS ROAD,localbus
R12,WMATA - R12,KENILWORTH AVENUE,localbus
R2,WMATA - R2,RIGGS ROAD,localbus
R4,WMATA - R4,QUEENS CHAPEL ROAD,localbus
RDL,WMATA - RDL,SHADY GROVE-TWINBROOK LOCAL,localbus
REX,WMATA - REX,RICHMOND HIGHWAY EXPRESS,localbus
S2,WMATA - S2,16TH STREET,localbus
S35,WMATA - S35,FORT DUPONT SHUTTLE,localbus
S41,WMATA - S41,RHODE ISLAND AV-CARVER TERR,localbus
S9,WMATA - S9,16TH STREET METROEXTRA,localbus
T14,WMATA - T14,RHODE ISLAND AVE-NEW CARROLLTON,localbus
T18,WMATA - T18,ANNAPOLIS ROAD,localbus
T2,WMATA - T2,RIVER ROAD,localbus
U4,WMATA - U4,SHERIFF ROAD-RIVER TERRACE,localbus
U5,WMATA - U5,MAYFAIR-MARSHALL HEIGHTS,localbus
U6,WMATA - U6,MAYFAIR-MARSHALL HEIGHTS,localbus
U7,WMATA - U7,DEANWOOD-MINNESOTA AVE STA,localbus
V12,WMATA - V12,DISTRICT HEIGHTS-SUITLAND,localbus
V14,WMATA - V14,DISTRICT HEIGHTS - SEAT PLEASANT,localbus
V2,WMATA - V2,CAPITOL HTS-MINNESOTA AVE,localbus
V4,WMATA - V4,CAPITOL HTS-MINNESOTA AVE,localbus
V7,WMATA - V7,BENNING HEIGHTS - ALABAMA AVENUE,localbus
V8,WMATA - V8,BENNING HEIGHTS - ALABAMA AVENUE,localbus
W1,WMATA - W1,SHIPLEY TERRACE - FORT DRUM,localbus
W14,WMATA - W14,BOCK ROAD,localbus
W2,WMATA - W2,UNITED MEDICAL CTR-ANACOSTIA LN,localbus
W3,WMATA - W3,UNITED MEDICAL CTR-ANACOSTIA LN,localbus
W4,WMATA - W4,DEANWOOD-ALABAMA AVE,localbus
W45,WMATA - W45,MT PLEASANT - TENLEYTOWN,localbus
W47,WMATA - W47,MT PLEASANT - TENLEYTOWN,localbus
W5,WMATA - W5,ANACOSTIA-BLUE PLAINS,localbus
W6,WMATA - W6,GARFIELD-ANACOSTIA LOOP,localbus
W8,WMATA - W8,GARFIELD-ANACOSTIA LOOP,localbus
X2,WMATA - X2,BENNING ROAD-H STREET,localbus
X3,WMATA - X3,BENNING ROAD,localbus
X8,WMATA - X8,MARYLAND AVE,localbus
X9,WMATA - X9,BENNING ROAD-H STREET LIMITED,localbus
Y2,WMATA - Y2,GEORGIA AVE-MARYLAND,localbus
Y7,WMATA - Y7,GEORGIA AVE-MARYLAND,localbus
Y8,WMATA - Y8,GEORGIA AVE-MARYLAND,localbus
Z2,WMATA - Z2,COLESVILLE - ASHTON,localbus
Z6,WMATA - Z6,CALVERTON-WESTFARM,localbus
Z7,WMATA - Z7,LAUREL-BURTONSVILLE EXPRESS,localbus
Z8,WMATA - Z8,FAIRLAND,localbus
RED,WMATA - Red,Metrorail Red Line,metro
BLUE,WMATA - Blue,Metrorail Blue Line,metro
GREEN,WMATA - Green,Metrorail Green Line,metro
YELLOW,WMATA - Yellow,Metrorail Yellow Line,metro
ORANGE,WMATA - Orange,Metrorail Orange Line,metro
SILVER,WMATA - Silver,Metrorail Silver Line,metro
SHUTTLE,WMATA - SHUTTLE,,metro
104,UM Shuttle - 104,104 College Park Metro,localbus
105,UM Shuttle - 105,105 Campus Connector,localbus
108,UM Shuttle - 108,108 Adelphi,localbus
109,UM Shuttle - 109,109 River Road,localbus
111,UM Shuttle - 111,111 Silver Spring,localbus
113,UM Shuttle - 113,113 Hyattsville,localbus
114,UM Shuttle - 114,114 University View,localbus
115,UM Shuttle - 115,115 Orange,localbus
116,UM Shuttle - 116,116 Purple,localbus
117,UM Shuttle - 117,117 Blue,localbus
118,UM Shuttle - 118,118 Gold,localbus
122,UM Shuttle - 122,122 Green,localbus
126,UM Shuttle - 126,126 New Carrolton,localbus
127,UM Shuttle - 127,127 Mazza GrandMarc,localbus
132,UM Shuttle - 132,132 The Varsity,localbus
133,UM Shuttle - 133,133 Grocery Shopping Shuttle,localbus
141,UM Shuttle - 141,141 Gaithersburg Park & Ride,localbus
142,UM Shuttle - 142,142 Columbia Park & Ride,localbus
143,UM Shuttle - 143,143 Greenbelt,localbus
11TB,THE BUS - 11,Greenbelt Metrorail Station,localbus
21TB,THE BUS - 21,Upper Marlboro / New Carrollton Metro,localbus
21xTB,THE BUS - 21x,PGCC / New Carrollton Express,localbus
23TB,THE BUS - 23,Addison Road Metrorail Station/ Sheriff Road,localbus
24TB,THE BUS - 24,Capitol Heights / District Heights,localbus
26TB,THE BUS - 26,Morgan Boulevard/ Largo Metrorail Station,localbus
28TB,THE BUS - 28,Largo / Woodmore Towne Centre,localbus
30TB,THE BUS - 30,Branch Avenue Metro / Southern Maryland Hospital,localbus
13TB,THE BUS - 13A,West Hyattsville Metrorail Station,localbus
32TB,THE BUS - 32,Naylor Road Metro / Clinton,localbus
33TB,THE BUS - 33,Southern Avenue Metro / Padgetts Corner,localbus
34TB,THE BUS - 34,Suitland Metro / Capital Crossing Apts.,localbus
35TB,THE BUS - 35,Southern Avenue Metrorail Station/ Camp Springs,localbus
36TB,THE BUS - 36,Clinton Fringe Lot/ Brandywine Crossing,localbus
37TB,THE BUS - 37,Southern Avenue Metro / Camp Springs,localbus
51ATB,THE BUS - 51A,Upper Marlboro- Marlboro Meadows Community,localbus
51BTB,THE BUS - 51B,Upper Marlboro- Marlboro Village Community,localbus
51XTB,THE BUS - 51X,Equestrian Center-Courthouse,localbus
14TB,THE BUS - 14,Prince Georges Plaza Metrorail Station,localbus
16TB,THE BUS - 16,Greenbelt / New Carrollton,localbus
17TB,THE BUS - 17,College Park / IKEA/ Mount Rainier,localbus
18TB,THE BUS - 18,Langley Park / Addison Road Metro,localbus
19TB,THE BUS - 19,West Hyattsville Chillum / Prince Georges Plaza Metrorail Station,localbus
20TB,THE BUS - 20,Addison Road Metrorail Station/ County Courthouse,localbus
11704,MARC - MARC,BRUNSWICK - WASHINGTON,marc
11705,MARC - MARC,PENN - WASHINGTON,marc
