,route_id,avg_dist
0,10A,0.2534751747365372
1,10B,0.23079069891185783
2,11C,0.44314739771506684
3,16A,0.33054509803921567
4,16C,0.34284470145614154
5,16E,0.31550232558139535
6,16G,0.2696860810211201
7,16H,0.27419672131147543
8,16Y,0.47459724683112986
9,17B,0.43371526980482206
10,17G,0.6653405600722674
11,17K,0.5693737373737374
12,17M,0.4889962121212122
13,18G,0.6572252747252748
14,18J,0.6209817813765182
15,18P,0.6256874923882597
16,1A,0.31587683165642516
17,1B,0.3114528101802757
18,1C,0.37879839827725875
19,21C,0.5018175874468782
20,22A,0.28851851851851856
21,22F,0.33065422565422564
22,23A,0.32175770547945204
23,23B,0.27069100098852866
24,23T,0.3418625413684292
25,25B,0.23195379685840736
26,26A,0.28372261072261074
27,28A,0.31577812786929904
28,28F,0.9805000000000001
29,29G,0.5341596638655463
30,29K,0.39841302604452905
31,29N,0.454211269908557
32,2A,0.24762091213553983
33,2B,0.3631669870300381
34,31,0.24323706004140785
35,32,0.2817801437382555
36,33,0.25554464000617566
37,36,0.2871340610937954
38,38B,0.24436647010829254
39,3Y,0.3101740237691002
40,42,0.21449590916347386
41,43,0.22870457154700338
42,4B,0.2624659090909091
43,52,0.23582425571926102
44,54,0.20631617742144057
45,59,0.5640197440796711
46,5A,7.003666666666667
47,60,0.20944107062528117
48,62,0.1992453522784405
49,63,0.2092891414141414
50,64,0.20718319800497717
51,70,0.22110575965079912
52,74,0.2214
53,79,0.6747138991882954
54,7A,0.3548528970807572
55,7M,2.0936811023622046
56,80,0.21624494114090917
57,83,0.2978021151766947
58,86,0.3033446925222111
59,89M,0.4867446712018141
60,8W,0.48632478632478626
61,90,0.23682063449387014
62,92,0.22334503846957401
63,96,0.28084204893095227
64,A12,0.2729681282219353
65,A2,0.19744068894068892
66,A31,0.22454545454545458
67,A32,0.20714285714285716
68,A33,0.23692307692307693
69,A4,0.22559287715490683
70,A6,0.19561771561771563
71,A7,0.18979248120300757
72,A8,0.21944303199839477
73,B2,0.23130106953451077
74,B21,1.0585263157894738
75,B22,0.6889683231618716
76,B24,0.33811796834118263
77,B27,0.42136363636363633
78,C11,2.398888888888889
79,C12,0.2521354021320534
80,C13,0.7404155844155844
81,C14,0.27562730269536556
82,C2,0.34385699065721553
83,C21,0.33691643632415536
84,C22,0.3489231396502649
85,C26,0.3153331130204891
86,C29,0.3328585069729286
87,C4,0.2950759128155767
88,C8,0.3377263221238266
89,D12,0.2455355488347269
90,D14,0.30845991827061664
91,D2,0.19166792910165123
92,D31,0.25561576354679805
93,D32,0.24313311688311687
94,D33,0.24870879120879125
95,D34,0.24180223285486444
96,D4,0.21216861742908252
97,D51,0.4772727272727273
98,D6,0.20546702053325458
99,D8,0.24287763206450794
100,E2,0.20475862068965517
101,E4,0.22377699358090125
102,F1,0.24347151901445252
103,F12,0.2744488124488125
104,F13,0.2836327351331879
105,F14,0.25887201488045547
106,F2,0.23777226529183051
107,F4,0.2429513342359877
108,F6,0.2795978914469587
109,F8,0.24664387504387503
110,G12,0.25893401769895363
111,G14,0.307942564511321
112,G2,0.20933774470772354
113,G8,0.2383369794567951
114,H12,0.21831564695907704
115,H2,0.24608750000000001
116,H4,0.24762580811049073
117,H6,0.2077763143145387
118,H8,0.22091981061211832
119,H9,0.19842105263157897
120,J1,0.2625724749869963
121,J12,0.28317708008592984
122,J2,0.27232245756302725
123,K12,0.28971309671451984
124,K2,0.2249107142857143
125,K6,0.25376871963147596
126,K9,0.8255289256198346
127,L2,0.23204411830325455
128,L8,0.25265807962529274
129,M4,0.19982874743901083
130,M6,0.30984243478260876
131,MW1,0.41594535519125686
132,N2,0.23431962864721484
133,N4,0.25288258157823373
134,N6,0.24298026748387797
135,NH1,0.3554652014652015
136,NH2,1.4312741312741313
137,P12,0.24774861729510114
138,P18,0.4685459144898269
139,P6,0.242611190643679
140,Q1,0.2924846075994356
141,Q2,0.27816923323832493
142,Q4,0.28106552165399035
143,Q5,0.3079415760869565
144,Q6,0.29095964898406623
145,R1,0.23898287992495312
146,R12,0.3152070404560786
147,R2,0.2703559204105553
148,R4,0.2138356164383562
149,RDL,2.5300000000000002
150,REX,0.8868569785506095
151,S2,0.22562672330277964
152,S35,0.24599002849002854
153,S41,0.29674603174603176
154,S9,0.47190736129732486
155,T14,0.2746493618135838
156,T18,0.29968332130832126
157,T2,0.33707340787554696
158,U4,0.19697097290933538
159,U5,0.1898935185185185
160,U6,0.19641939164122263
161,U7,0.2008415476147065
162,V12,0.244568664121102
163,V14,0.22889701451558994
164,V2,0.2176762492696499
165,V4,0.2514133222101972
166,V7,0.1917767758557232
167,V8,0.20309746634377523
168,W1,0.1831409516480698
169,W14,0.3527471141366745
170,W2,0.18228215811377438
171,W3,0.18260575136605872
172,W4,0.22455548164572556
173,W45,0.25070812807881776
174,W47,0.238695652173913
175,W5,0.6031623931623933
176,W6,0.18199824013049418
177,W8,0.1838019921927581
178,X2,0.2998787911398081
179,X3,0.3707692307692308
180,X8,0.21513657664323593
181,X9,0.6378528317228007
182,Y2,0.29588548504741063
183,Y7,0.27153279292557103
184,Y8,0.29094142375926346
185,Z2,0.3197600222317843
186,Z6,0.2874453883924655
187,Z7,0.5564046818727492
188,Z8,0.2927200671831661
189,BLUE,1.6553214674863796
190,GREEN,1.6218345973275552
191,ORANGE,1.5463182346109177
192,RED,1.6888
193,SHUTTLE,2.755879524171096
194,SILVER,1.7249524639123945
195,YELLOW,1.5879377436027795
