route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4962,39435.102117,509530,,,,17352,39435,0,0
4962,39435.102117,509531,,,,17352,39435,0,0
4962,39435.102117,509532,,,,17352,39435,0,0
4962,39435.102117,509533,,,,17352,39435,0,0
4962,39435.102117,509534,,,,17352,39435,0,0
4962,39435.102117,509535,,,,17352,39435,0,0
4962,39435.102117,509536,,,,17352,39435,0,0
4962,39435.102117,509537,,,,17352,39435,0,0
4962,39435.102117,509538,,,,17352,39435,0,0
4962,39435.102117,509539,,,,17352,39435,0,0
4962,39435.102117,509540,,,,17352,39435,0,0
4962,39435.102117,509541,,,,17352,39435,0,0
4962,39435.102117,509542,,,,17352,39435,0,0
4962,39435.102117,509543,,,,17352,39435,0,0
4962,39435.102117,509544,,,,17352,39435,0,0
4962,39435.102117,509545,,,,17352,39435,0,0
4962,39435.102117,509546,,,,17352,39435,0,0
4962,39435.102117,509547,,,,17352,39435,0,0
4962,39435.102117,509548,,,,17352,39435,0,0
4962,39435.102117,509549,,,,17352,39435,0,0
4962,39435.102117,509550,,,,17352,39435,0,0
4962,39435.102118,509551,,,,17368,39435,0,0
4962,39435.102118,509552,,,,17368,39435,0,0
4962,39435.102118,509553,,,,17368,39435,0,0
4962,39435.102118,509554,,,,17368,39435,0,0
4962,39435.102118,509555,,,,17368,39435,0,0
4962,39435.102118,509556,,,,17368,39435,0,0
4962,39435.102118,509557,,,,17368,39435,0,0
4962,39435.102118,509558,,,,17368,39435,0,0
4962,39435.102118,509559,,,,17368,39435,0,0
4962,39435.102118,509560,,,,17368,39435,0,0
4962,39435.102118,509561,,,,17368,39435,0,0
4962,39435.102118,509562,,,,17368,39435,0,0
4962,39435.102118,509563,,,,17368,39435,0,0
4962,39435.102118,509564,,,,17368,39435,0,0
4962,39435.102118,509565,,,,17368,39435,0,0
4962,39435.102118,509566,,,,17368,39435,0,0
4962,39435.102118,509567,,,,17368,39435,0,0
4962,39435.102118,509568,,,,17368,39435,0,0
4962,39435.102121,509624,,,,17394,39435,0,0
4962,39435.102121,509625,,,,17394,39435,0,0
4962,39435.102121,509626,,,,17394,39435,0,0
4962,39435.102121,509627,,,,17394,39435,0,0
4962,39435.102121,509628,,,,17394,39435,0,0
4962,39435.102121,509629,,,,17394,39435,0,0
4962,39435.102121,509630,,,,17394,39435,0,0
4962,39435.102121,509631,,,,17394,39435,0,0
4962,39435.102121,509632,,,,17394,39435,0,0
4962,39435.102121,509633,,,,17394,39435,0,0
4962,39435.102121,509634,,,,17394,39435,0,0
4962,39435.102121,509635,,,,17394,39435,0,0
4962,39435.102121,509636,,,,17394,39435,0,0
4962,39435.102121,509637,,,,17394,39435,0,0
4962,39435.102121,509638,,,,17394,39435,0,0
4962,39435.102121,509639,,,,17394,39435,0,0
4962,39435.102121,509640,,,,17394,39435,0,0
4962,39435.102121,509641,,,,17394,39435,0,0
4962,39435.102121,509642,,,,17394,39435,0,0
4962,39435.102121,509643,,,,17394,39435,0,0
4962,39435.102121,509644,,,,17394,39435,0,0
4962,39435.102121,509645,,,,17394,39435,0,0
4962,39435.102121,509646,,,,17394,39435,0,0
4962,39435.102121,509647,,,,17394,39435,0,0
4962,39435.102122,509648,,,,17400,39435,0,0
4962,39435.102122,509649,,,,17400,39435,0,0
4962,39435.102122,509650,,,,17400,39435,0,0
4962,39435.102122,509651,,,,17400,39435,0,0
4962,39435.102122,509652,,,,17400,39435,0,0
4962,39435.102122,509653,,,,17400,39435,0,0
4962,39435.102122,509654,,,,17400,39435,0,0
4962,39435.102122,509655,,,,17400,39435,0,0
4962,39435.102122,509656,,,,17400,39435,0,0
4962,39435.102122,509657,,,,17400,39435,0,0
4962,39435.102122,509658,,,,17400,39435,0,0
4962,39435.102122,509659,,,,17400,39435,0,0
4962,39435.102122,509660,,,,17400,39435,0,0
4962,39435.102122,509661,,,,17400,39435,0,0
4962,39435.102122,509662,,,,17400,39435,0,0
4962,39435.102122,509663,,,,17400,39435,0,0
4962,39435.102122,509664,,,,17400,39435,0,0
4962,39435.102122,509665,,,,17400,39435,0,0
4962,39435.102121,509666,,,,17396,39435,0,0
4962,39435.102121,509667,,,,17396,39435,0,0
4962,39435.102121,509668,,,,17396,39435,0,0
4962,39435.102121,509669,,,,17396,39435,0,0
4962,39435.102121,509670,,,,17396,39435,0,0
4962,39435.102121,509671,,,,17396,39435,0,0
4962,39435.102121,509672,,,,17396,39435,0,0
4962,39435.102121,509673,,,,17396,39435,0,0
4962,39435.102121,509674,,,,17396,39435,0,0
4962,39435.102121,509675,,,,17396,39435,0,0
4962,39435.102121,509676,,,,17396,39435,0,0
4962,39435.102121,509677,,,,17396,39435,0,0
4962,39435.102121,509678,,,,17396,39435,0,0
4962,39435.102121,509679,,,,17396,39435,0,0
4962,39435.102121,509680,,,,17396,39435,0,0
4962,39435.102121,509681,,,,17396,39435,0,0
4962,39435.102121,509682,,,,17396,39435,0,0
4962,39435.102121,509683,,,,17396,39435,0,0
4962,39435.102121,509684,,,,17396,39435,0,0
4962,39435.102121,509685,,,,17396,39435,0,0
4962,39435.102121,509686,,,,17396,39435,0,0
4962,39435.102121,509687,,,,17396,39435,0,0
4962,39435.102121,509688,,,,17396,39435,0,0
4962,39435.102122,509689,,,,17398,39435,0,0
4962,39435.102122,509690,,,,17398,39435,0,0
4962,39435.102122,509691,,,,17398,39435,0,0
4962,39435.102122,509692,,,,17398,39435,0,0
4962,39435.102122,509693,,,,17398,39435,0,0
4962,39435.102122,509694,,,,17398,39435,0,0
4962,39435.102122,509695,,,,17398,39435,0,0
4962,39435.102122,509696,,,,17398,39435,0,0
4962,39435.102122,509697,,,,17398,39435,0,0
4962,39435.102122,509698,,,,17398,39435,0,0
4962,39435.102122,509699,,,,17398,39435,0,0
4962,39435.102122,509700,,,,17398,39435,0,0
4962,39435.102122,509701,,,,17398,39435,0,0
4962,39435.102122,509702,,,,17398,39435,0,0
4962,39435.102122,509703,,,,17398,39435,0,0
4962,39435.102122,509704,,,,17398,39435,0,0
4962,39435.102122,509705,,,,17398,39435,0,0
6139,39435.102117,676567,,,,27624,49011,0,0
6139,39435.102117,678746,,,,27624,49011,0,0
6139,39435.102117,678747,,,,27624,49011,0,0
6139,39435.102117,678748,,,,27624,49011,0,0
6139,39435.102117,678749,,,,27624,49011,0,0
6139,39435.102117,678750,,,,27624,49011,0,0
6139,39435.102117,678751,,,,27624,49011,0,0
6139,39435.102117,678752,,,,27624,49011,0,0
6139,39435.102117,678753,,,,27624,49011,0,0
