service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
39435,1,1,1,1,1,1,1,20230101,20251231
39435.102117,1,1,1,1,0,0,0,20230101,20251231
39435.102118,0,0,0,0,1,0,0,20230101,20251231
39435.102121,0,0,0,0,0,1,0,20230101,20251231
39435.102122,0,0,0,0,0,0,1,20230101,20251231
39437.102146,1,1,1,1,0,0,0,20230101,20251231
39437.102147,0,0,0,0,1,0,0,20230101,20251231
39437.102156,0,0,0,0,0,1,0,20230101,20251231
39437.102157,0,0,0,0,0,0,1,20230101,20251231
