trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,next_stop_time
2553891,0 days 06:39:00.000000000,0 days 06:39:00.000000000,7500,1,,,,,4.0
2553891,0 days 06:43:00.000000000,0 days 06:43:00.000000000,10906,2,,,,5.6206,3.0
2553891,0 days 06:46:00.000000000,0 days 06:46:00.000000000,11422,3,,,,7.8746,2.0
2553891,0 days 06:48:00.000000000,0 days 06:48:00.000000000,4819,4,,,,9.8143,2.0
2553891,0 days 06:50:00.000000000,0 days 06:50:00.000000000,10419,5,,,,11.0505,2.0
2553891,0 days 06:52:00.000000000,0 days 06:52:00.000000000,5585,6,,,,13.2051,4.0
2553891,0 days 06:56:00.000000000,0 days 06:56:00.000000000,7503,7,,,,16.2367,2.0
2553891,0 days 06:58:00.000000000,0 days 06:58:00.000000000,7504,8,,,,17.4944,2.0
2553891,0 days 07:00:00.000000000,0 days 07:00:00.000000000,7505,9,,,,18.2394,2.0
2553891,0 days 07:02:00.000000000,0 days 07:02:00.000000000,7506,10,,,,19.9023,1.0
2553891,0 days 07:03:00.000000000,0 days 07:03:00.000000000,7507,11,,,,21.0583,2.0
2553891,0 days 07:05:00.000000000,0 days 07:05:00.000000000,7508,12,,,,21.7744,2.0
2553891,0 days 07:07:00.000000000,0 days 07:07:00.000000000,7509,13,,,,22.6286,2.0
2553891,0 days 07:09:00.000000000,0 days 07:09:00.000000000,7510,14,,,,24.2364,-1.0
2553892,0 days 06:47:00.000000000,0 days 06:47:00.000000000,7500,1,,,,,4.0
2553892,0 days 06:51:00.000000000,0 days 06:51:00.000000000,10906,2,,,,5.6206,3.0
2553892,0 days 06:54:00.000000000,0 days 06:54:00.000000000,11422,3,,,,7.8746,2.0
2553892,0 days 06:56:00.000000000,0 days 06:56:00.000000000,4819,4,,,,9.8143,2.0
2553892,0 days 06:58:00.000000000,0 days 06:58:00.000000000,10419,5,,,,11.0505,2.0
2553892,0 days 07:00:00.000000000,0 days 07:00:00.000000000,5585,6,,,,13.2051,4.0
2553892,0 days 07:04:00.000000000,0 days 07:04:00.000000000,7503,7,,,,16.2367,2.0
2553892,0 days 07:06:00.000000000,0 days 07:06:00.000000000,7504,8,,,,17.4944,2.0
2553892,0 days 07:08:00.000000000,0 days 07:08:00.000000000,7505,9,,,,18.2394,2.0
2553892,0 days 07:10:00.000000000,0 days 07:10:00.000000000,7506,10,,,,19.9023,1.0
2553892,0 days 07:11:00.000000000,0 days 07:11:00.000000000,7507,11,,,,21.0583,2.0
2553892,0 days 07:13:00.000000000,0 days 07:13:00.000000000,7508,12,,,,21.7744,2.0
2553892,0 days 07:15:00.000000000,0 days 07:15:00.000000000,7509,13,,,,22.6286,2.0
2553892,0 days 07:17:00.000000000,0 days 07:17:00.000000000,7510,14,,,,24.2364,-1.0
2553893,0 days 06:55:00.000000000,0 days 06:55:00.000000000,7500,1,,,,,4.0
2553893,0 days 06:59:00.000000000,0 days 06:59:00.000000000,10906,2,,,,5.6206,3.0
2553893,0 days 07:02:00.000000000,0 days 07:02:00.000000000,11422,3,,,,7.8746,2.0
2553893,0 days 07:04:00.000000000,0 days 07:04:00.000000000,4819,4,,,,9.8143,2.0
2553893,0 days 07:06:00.000000000,0 days 07:06:00.000000000,10419,5,,,,11.0505,2.0
2553893,0 days 07:08:00.000000000,0 days 07:08:00.000000000,5585,6,,,,13.2051,4.0
2553893,0 days 07:12:00.000000000,0 days 07:12:00.000000000,7503,7,,,,16.2367,2.0
