7500,OWINGS MILLS STATION (METRO),39.407642,-76.780768
10906,OLD COURT STAT (METRO) sb,39.370794,-76.743423
11422,MILFORD MILL METRO STAT sb,39.36247,-76.72138
4819,REISTERSTOWN PLAZA (METRO) sb,39.352262,-76.705402
10419,ROGERS STATION (METRO) sb,39.345918,-76.693708
5585,WEST COLD SPRING STATION METRO,39.336192,-76.672379
7503,MONDAWMIN STATION (METRO) sb,39.318103,-76.65269
7504,PENN NORTH STATION (METRO) sb,39.310057,-76.642497
7505,UPTON STATION (METRO) sb,39.305148,-76.636603
7506,STATE CENTER (METRO) sb,39.301425,-76.623155
7507,LEXINGTON MARKET (METRO) sb,39.291541,-76.620996
7508,CHARLES CENTER (METRO) sb,39.289394,-76.615475
7509,SHOT TOWER STATION (METRO) sb,39.289915,-76.605583
7510,JOHNS HOPKINS STATION (METRO),39.298289,-76.594107
7511,SHOT TOWER STATION (METRO) nb,39.289952,-76.605814
7512,CHARLES CENTER (METRO) nb,39.289452,-76.616275
7513,LEXINGTON MARKET (METRO) nb,39.29173,-76.620914
7514,STATE CENTER (METRO) nb ,39.301515,-76.623166
7515,UPTON STATION (METRO) nb,39.305318,-76.63672
7516,PENN NORTH STAT (METRO) nb,39.310195,-76.64259
7517,MONDAWMIN STATION (METRO) nb,39.318211,-76.652759
5584,WEST COLD SPRING STATION METRO,39.336464,-76.672632
10420,ROGERS STATION (METRO) nb,39.346336,-76.694382
7519,REISTERSTOWN PLAZA STATION (METRO) nb,39.352589,-76.706095
7520,MILFORD MILL STATION (METRO) nb,39.362777,-76.721459
7522,OLD COURT STATION (METRO) nb,39.371003,-76.743665
