route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
RED,55,3985348_18934,"GLENMONT",0,,1,3985348,114
RED,55,3985349_18934,"GLENMONT",0,,1,3985349,115
RED,55,3985350_18934,"GLENMONT",0,,1,3985350,116
RED,55,3985351_18934,"GLENMONT",0,,1,3985351,117
RED,55,3985352_18934,"GLENMONT",0,,1,3985352,118
RED,55,3985353_18934,"GLENMONT",0,,1,3985353,119
RED,55,3985354_18934,"GLENMONT",0,,1,3985354,101
RED,55,3985329_18934,"GLENMONT",0,,1,3985329,102
RED,55,3985323_18934,"GLENMONT",0,,1,3985323,103
RED,55,3985325_18934,"GLENMONT",0,,1,3985325,104
RED,55,3985326_18934,"GLENMONT",0,,1,3985326,105
RED,55,3985324_18934,"GLENMONT",0,,1,3985324,106
RED,55,3985327_18934,"GLENMONT",0,,1,3985327,107
RED,55,3985328_18934,"GLENMONT",0,,1,3985328,108
RED,55,3985322_18934,"GLENMONT",0,,1,3985322,109
RED,57,4077719_18934,"GLENMONT",0,,2,4077719,107
RED,57,4077833_18934,"GLENMONT",0,,2,4077833,108
RED,57,4077742_18934,"GLENMONT",0,,2,4077742,109
RED,57,4077744_18934,"GLENMONT",0,,2,4077744,110
RED,57,4077834_18934,"GLENMONT",0,,2,4077834,101
RED,57,4077768_18934,"GLENMONT",0,,2,4077768,102
RED,57,4077762_18934,"GLENMONT",0,,2,4077762,103
RED,57,4077828_18934,"GLENMONT",0,,2,4077828,104
RED,57,4078398_18934,"GLENMONT",0,,2,4078398,105
RED,57,4077761_18934,"GLENMONT",0,,2,4077761,106
RED,57,4077771_18934,"GLENMONT",0,,2,4077771,107
RED,57,4077826_18934,"GLENMONT",0,,2,4077826,108
RED,57,4077709_18934,"GLENMONT",0,,2,4077709,109
RED,57,4077735_18934,"GLENMONT",0,,2,4077735,110
RED,57,4077824_18934,"GLENMONT",0,,2,4077824,101
RED,57,4077715_18934,"GLENMONT",0,,2,4077715,102
RED,57,4077736_18934,"GLENMONT",0,,2,4077736,103
RED,57,4077822_18934,"GLENMONT",0,,2,4077822,104
