trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,next_stop_time
2560601,0 days 14:43:00.000000000,0 days 14:43:00.000000000,7656,25,,,,33.4882,2.0
2560601,0 days 14:45:00.000000000,0 days 14:45:00.000000000,7657,26,,,,35.2018,5.0
2560601,0 days 14:50:00.000000000,0 days 14:50:00.000000000,7658,27,,,,39.0174,3.0
2560601,0 days 14:53:00.000000000,0 days 14:53:00.000000000,7659,28,,,,40.3107,2.0
2560601,0 days 14:55:00.000000000,0 days 14:55:00.000000000,7660,29,,,,41.4543,3.0
2560601,0 days 14:58:00.000000000,0 days 14:58:00.000000000,7661,30,,,,42.0097,2.0
2560601,0 days 15:00:00.000000000,0 days 15:00:00.000000000,7662,31,,,,42.6014,-1.0
2560602,0 days 13:10:00.000000000,0 days 13:10:00.000000000,7627,1,,,,,3.0
2560602,0 days 13:13:00.000000000,0 days 13:13:00.000000000,7628,2,,,,1.5147,5.0
2560602,0 days 13:18:00.000000000,0 days 13:18:00.000000000,7630,3,,,,4.2968,3.0
2560602,0 days 13:21:00.000000000,0 days 13:21:00.000000000,7631,4,,,,5.8915,2.0
2560602,0 days 13:23:00.000000000,0 days 13:23:00.000000000,7632,5,,,,6.8553,2.0
2560602,0 days 13:25:00.000000000,0 days 13:25:00.000000000,7634,6,,,,8.3539,2.0
2560602,0 days 13:27:00.000000000,0 days 13:27:00.000000000,7635,7,,,,9.2603,2.0
2560602,0 days 13:29:00.000000000,0 days 13:29:00.000000000,7637,8,,,,10.9735,2.0
2560602,0 days 13:31:00.000000000,0 days 13:31:00.000000000,7638,9,,,,11.7175,3.0
2560602,0 days 13:34:00.000000000,0 days 13:34:00.000000000,7639,10,,,,13.8386,2.0
2560602,0 days 13:36:00.000000000,0 days 13:36:00.000000000,7640,11,,,,14.2543,2.0
2560602,0 days 13:38:00.000000000,0 days 13:38:00.000000000,7641,12,,,,14.7242,2.5166666666666666
2560602,0 days 13:40:31.000000000,0 days 13:40:31.000000000,7642,13,,,,15.0457,2.4833333333333334
2560602,0 days 13:43:00.000000000,0 days 13:43:00.000000000,7643,14,,,,15.3591,3.0
2560602,0 days 13:46:00.000000000,0 days 13:46:00.000000000,7644,15,,,,15.8621,3.0
2560602,0 days 13:49:00.000000000,0 days 13:49:00.000000000,7645,16,,,,16.5884,2.0
2560602,0 days 13:51:00.000000000,0 days 13:51:00.000000000,7646,17,,,,17.0796,2.0
2560602,0 days 13:53:00.000000000,0 days 13:53:00.000000000,7648,18,,,,17.6471,1.0
2560602,0 days 13:54:00.000000000,0 days 13:54:00.000000000,7649,19,,,,17.7557,3.0
2560602,0 days 13:57:00.000000000,0 days 13:57:00.000000000,7650,20,,,,20.6136,2.0
2560602,0 days 13:59:00.000000000,0 days 13:59:00.000000000,7651,21,,,,22.1983,4.0
2560602,0 days 14:03:00.000000000,0 days 14:03:00.000000000,7652,22,,,,24.9539,1.0
2560602,0 days 14:04:00.000000000,0 days 14:04:00.000000000,7654,23,,,,25.9561,7.0
2560602,0 days 14:11:00.000000000,0 days 14:11:00.000000000,7655,24,,,,32.9717,2.0
2560602,0 days 14:13:00.000000000,0 days 14:13:00.000000000,7656,25,,,,33.4882,2.0
2560602,0 days 14:15:00.000000000,0 days 14:15:00.000000000,7657,26,,,,35.2018,5.0
2560602,0 days 14:20:00.000000000,0 days 14:20:00.000000000,7658,27,,,,39.0174,3.0
2560602,0 days 14:23:00.000000000,0 days 14:23:00.000000000,7659,28,,,,40.3107,2.0
2560602,0 days 14:25:00.000000000,0 days 14:25:00.000000000,7660,29,,,,41.4543,3.0
2560602,0 days 14:28:00.000000000,0 days 14:28:00.000000000,7661,30,,,,42.0097,2.0
2560602,0 days 14:30:00.000000000,0 days 14:30:00.000000000,7662,31,,,,42.6014,-1.0
2560603,0 days 12:40:00.000000000,0 days 12:40:00.000000000,7627,1,,,,,3.0
2560603,0 days 12:43:00.000000000,0 days 12:43:00.000000000,7628,2,,,,1.5147,5.0
2560603,0 days 12:48:00.000000000,0 days 12:48:00.000000000,7630,3,,,,4.2968,3.0
2560603,0 days 12:51:00.000000000,0 days 12:51:00.000000000,7631,4,,,,5.8915,2.0
2560603,0 days 12:53:00.000000000,0 days 12:53:00.000000000,7632,5,,,,6.8553,2.0
2560603,0 days 12:55:00.000000000,0 days 12:55:00.000000000,7634,6,,,,8.3539,2.0
2560603,0 days 12:57:00.000000000,0 days 12:57:00.000000000,7635,7,,,,9.2603,2.0
2560603,0 days 12:59:00.000000000,0 days 12:59:00.000000000,7637,8,,,,10.9735,2.0
2560603,0 days 13:01:00.000000000,0 days 13:01:00.000000000,7638,9,,,,11.7175,3.0
2560603,0 days 13:04:00.000000000,0 days 13:04:00.000000000,7639,10,,,,13.8386,2.0
2560603,0 days 13:06:00.000000000,0 days 13:06:00.000000000,7640,11,,,,14.2543,2.0
2560603,0 days 13:08:00.000000000,0 days 13:08:00.000000000,7641,12,,,,14.7242,2.5166666666666666
2560603,0 days 13:10:31.000000000,0 days 13:10:31.000000000,7642,13,,,,15.0457,2.4833333333333334
2560603,0 days 13:13:00.000000000,0 days 13:13:00.000000000,7643,14,,,,15.3591,3.0
2560603,0 days 13:16:00.000000000,0 days 13:16:00.000000000,7644,15,,,,15.8621,3.0
2560603,0 days 13:19:00.000000000,0 days 13:19:00.000000000,7645,16,,,,16.5884,2.0
2560603,0 days 13:21:00.000000000,0 days 13:21:00.000000000,7646,17,,,,17.0796,2.0
2560603,0 days 13:23:00.000000000,0 days 13:23:00.000000000,7648,18,,,,17.6471,1.0
2560603,0 days 13:24:00.000000000,0 days 13:24:00.000000000,7649,19,,,,17.7557,3.0
2560603,0 days 13:27:00.000000000,0 days 13:27:00.000000000,7650,20,,,,20.6136,2.0
2560603,0 days 13:29:00.000000000,0 days 13:29:00.000000000,7651,21,,,,22.1983,4.0
2560603,0 days 13:33:00.000000000,0 days 13:33:00.000000000,7652,22,,,,24.9539,1.0
2560603,0 days 13:34:00.000000000,0 days 13:34:00.000000000,7654,23,,,,25.9561,7.0
2560603,0 days 13:41:00.000000000,0 days 13:41:00.000000000,7655,24,,,,32.9717,2.0
2560603,0 days 13:43:00.000000000,0 days 13:43:00.000000000,7656,25,,,,33.4882,2.0
2560603,0 days 13:45:00.000000000,0 days 13:45:00.000000000,7657,26,,,,35.2018,5.0
2560603,0 days 13:50:00.000000000,0 days 13:50:00.000000000,7658,27,,,,39.0174,3.0
2560603,0 days 13:53:00.000000000,0 days 13:53:00.000000000,7659,28,,,,40.3107,2.0
2560603,0 days 13:55:00.000000000,0 days 13:55:00.000000000,7660,29,,,,41.4543,3.0
2560603,0 days 13:58:00.000000000,0 days 13:58:00.000000000,7661,30,,,,42.0097,2.0
2560603,0 days 14:00:00.000000000,0 days 14:00:00.000000000,7662,31,,,,42.6014,-1.0
2560604,0 days 12:10:00.000000000,0 days 12:10:00.000000000,7627,1,,,,,3.0
2560604,0 days 12:13:00.000000000,0 days 12:13:00.000000000,7628,2,,,,1.5147,5.0
2560604,0 days 12:18:00.000000000,0 days 12:18:00.000000000,7630,3,,,,4.2968,3.0
2560604,0 days 12:21:00.000000000,0 days 12:21:00.000000000,7631,4,,,,5.8915,2.0
2560604,0 days 12:23:00.000000000,0 days 12:23:00.000000000,7632,5,,,,6.8553,2.0
2560604,0 days 12:25:00.000000000,0 days 12:25:00.000000000,7634,6,,,,8.3539,2.0
2560604,0 days 12:27:00.000000000,0 days 12:27:00.000000000,7635,7,,,,9.2603,2.0
2560604,0 days 12:29:00.000000000,0 days 12:29:00.000000000,7637,8,,,,10.9735,2.0
2560604,0 days 12:31:00.000000000,0 days 12:31:00.000000000,7638,9,,,,11.7175,3.0
2560604,0 days 12:34:00.000000000,0 days 12:34:00.000000000,7639,10,,,,13.8386,2.0
2560604,0 days 12:36:00.000000000,0 days 12:36:00.000000000,7640,11,,,,14.2543,2.0
2560604,0 days 12:38:00.000000000,0 days 12:38:00.000000000,7641,12,,,,14.7242,2.5166666666666666
2560604,0 days 12:40:31.000000000,0 days 12:40:31.000000000,7642,13,,,,15.0457,2.4833333333333334
